Time,Value
0.0231293,-0.96133
0.023152,-0.955577
0.0231747,-0.949432
0.0231974,-0.942899
0.0232201,-0.935979
0.0232427,-0.928674
0.0232654,-0.920989
0.0232881,-0.912925
0.0233108,-0.904486
0.0233334,-0.895673
0.0233561,-0.886492
0.0233788,-0.876945
0.0234015,-0.867036
0.0234241,-0.856768
0.0234468,-0.846146
0.0234695,-0.835174
0.0234922,-0.823855
0.0235148,-0.812194
0.0235375,-0.800196
0.0235602,-0.787865
0.0235829,-0.775207
0.0236055,-0.762225
0.0236282,-0.748926
0.0236509,-0.735313
0.0236736,-0.721394
0.0236962,-0.707173
0.0237189,-0.692655
0.0237416,-0.677848
0.0237643,-0.662754
0.0237869,-0.647384
0.0238096,-0.631739
0.0238323,-0.61583
0.023855,-0.59966
0.0238777,-0.583237
0.0239003,-0.566567
0.023923,-0.549657
0.0239457,-0.532514
0.0239684,-0.515144
0.023991,-0.497556
0.0240137,-0.479755
0.0240364,-0.461749
0.0240591,-0.443546
0.0240817,-0.425153
0.0241044,-0.406577
0.0241271,-0.387826
0.0241498,-0.368907
0.0241724,-0.34983
0.0241951,-0.3306
0.0242178,-0.311228
0.0242405,-0.291718
0.0242631,-0.272082
0.0242858,-0.252325
0.0243085,-0.232458
0.0243312,-0.212487
0.0243538,-0.192421
0.0243765,-0.172269
0.0243992,-0.152039
0.0244219,-0.131738
0.0244445,-0.111377
0.0244672,-0.0909632
0.0244899,-0.0705052
0.0245126,-0.0500116
0.0245352,-0.0294911
0.0245579,-0.00895242
0.0245806,0.0115959
0.0246033,0.0321451
0.024626,0.0526866
0.0246486,0.0732104
0.0246713,0.0937113
0.024694,0.114176
0.0247167,0.134601
